6,麻油系列,Sesame Oils
6-1,富貴純麻油,100% Pure Sesame Oil
6-2,中國香麻油,Chinese Sesame Oil
6-3,吉祥香麻油,Jaisun Sesame Oil
6-4,美味香麻油,Meiwei Sesame Oil
6-5,一品香麻油,Sesame Oil
6-6,黑麻油,100% Black Sesame Oil
7,辣油系列,Spicy Oils
7-1,香辣油,Chili Oil
7-2,辣麻油,Hot Sesame Oil
8,岡山系列,Gong San (Taiwan Style)
8-1,岡山辣椒醬,Gong San Chili Sauce®
8-2,岡山辣豆瓣醬,Gong San Hot Bean Sauce®
8-3,岡山豆瓣醬,Gong San Bean Sauce®
9,川味系列,Szechuan Style
9-1,辣蠶豆瓣醬,Hot Broad Bean Sauce
9-2,蠶豆瓣醬,Fermented Broad Bean Paste
9-3,甜麵醬,Sweet Flour Sauce
9-4,純芝麻醬,Sesame Paste
9-5,純黑芝麻醬,Black Sesame Paste
10,湖南系列,Hunan Style
10-1,湖南辣椒醬,Hunan Chili Sauce
10-2,豆豉,Preserved Bean
10-3,陽江薑豉,Preserved Bean
11,越潮系列,Uncle Chen® (Vietnamese Style)
11-1,Uncle Chen越南蒜蓉辣椒醬,Uncle Chen® Chili Garlic Sauce
11-2,Uncle Chen特辣越南蒜蓉辣椒醬,Uncle Chen® Extra Hot Chili Garlic Sauce
11-3,Uncle Chen新鮮辣椒醬,Uncle Chen® Fresh Ground Chili Paste
11-4,Uncle Chen特辣新鮮辣椒醬,Uncle Chen® Extra Hot Fresh Ground Chili Paste
11-5,Uncle Chen是拉差醬,Uncle Chen® Sriracha Chili Sauce
12,辣椒系列,Chilies
12-1,天津小辣椒,Chili Pods
12-2,辣椒段,Chili Ring
12-3,辣椒碎,Crushed Chili
12-4,特辣辣椒碎,Extra Hot Crushed Chili
12-5,輕辣椒粉,Paprika
12-6,重辣椒粉,Cayenne
13,大蒜系列,Garlics
13-1,大蒜片,Garlic Flake
13-2,大蒜碎,Chopped Garlic
13-3,細蒜碎,Minced Garlic
13-4,大蒜粉,Granule Garlic
13-5,細蒜粉,Garlic Powder
14,洋蔥系列,Onions
14-1,洋蔥碎,Chopped Onion
14-2,洋蔥粉,Onion Powder
14-3,油蔥酥,Fried Onion
15,香料系列,Herbs
15-1,咖哩粉,Curry Powder
15-2,生薑粉,Ginger Powder
15-3,米酒,Cooking Wine
15-4,香葉,Bay Leaves
15-5,肉桂條,Cinnimon Stick
15-6,肉桂粉,Ground Cinnamon
15-7,味精,MSG
15-8,素味素,MSG Substitute
15-9,九層塔,Basil
15-10,特级红花椒,Red Prickly Ash
15-11,花椒,Pepper Corn
15-12,花椒粉,Ground Pepper Corn
15-13,花椒油,Prickly Ash Oil
15-14,藤椒油,Vine Oil
15-15,青花椒,Green Pepper Corn
15-16,八角,Star Anise
15-17,八角粉,Ground Star Anise
15-18,丁香,Cloves
15-19,丁香粉,Ground Cloves
15-20,小茴,Fennel Seed
15-21,小茴粉,Ground Fennel Seed
15-22,黃薑粉,Ground Turmeric
15-23,五香粉,Five-Spices Powder
15-24,鬆肉粉,Meat Tenderizer
15-25,陳皮,Orange Peel
15-26,陳皮粉,Ground Orange Peel
15-27,羅漢果,Luo Han Guo
15-28,沙薑片,Spicy Ginger Flake
15-29,沙薑粉,Ground Spicy Ginger
15-30,草果,Tsaoko Cardamom
15-31,甘草,Licorice
15-32,甘草粉,Ground Licorice
15-33,香菜仔,Coriander
15-34,香菜粉,Ground Coriander
15-35,宮廷滷料,Mixed Seasoning
15-36,孜然,Cumin
15-37,孜然粉,Ground Cumin
15-38,小荳蔻,Cardamom
15-39,芹菜粉,Ground Celery
15-40,南薑片,Galanga
15-41,當歸,Chinese Angelica Root
15-42,枸杞,Goji Berry
15-43,黨參,Codonopsis Root
15-44,肉荳蔻,Nutmeg
15-45,荳蔻粉,Ground Nutmeg
15-46,紅棗,Dried Red Dates
15-47,玉竹,Rhizoma Polygonati Odorati
15-48,淮山,Chinese Yam Rhizome
15-49,檸檬香葉,Lemon Grass (1/8")
15-50,桂圓,Dried Longan
15-51,圓枝腐竹,Dried Bean Stick
15-52,良薑,Rhizoma Galangae
15-53,蓽撥,Long Pepper
15-54,仙茅,Rhizoma Curculiginis
15-55,白芷,Radix Angelicae
15-56,千里香,Murraya Exotica
15-57,山楂,Preserved Haw Slice
15-58,砂仁,Fructus Amomi
15-59,小龍蝦粉,Steak Seasoning
15-60,川芎,Hemlock Parsley
15-61,烏梅,Smoked Plum
16,胡椒系列,Peppers
16-1,白胡椒仔,Whole White Pepper
16-2,白胡椒粉,Ground White Pepper
16-3,黑胡椒仔,Whole Blacke Pepper
16-4,黑胡椒粉,Ground Black Pepper
16-5,胡椒鹽,Salted Pepper Shake
17,芥茉系列,Mustards
17-1,芥茉粉,Mustard Flour
17-2,日本芥茉粉,Japanese Wasabi Powder
18,果仁類,Nuts, Beans, and Seeds
18-1,腰果,Cashew Nut
18-2,杏仁,Almond
18-3,花生（美國）,Peanut (American)
18-4,花生（中國）,Peanut (Chinese)
18-5,有皮花生,Peanut (with Skin)
18-6,全核桃,Walnut (Halves)
18-7,松子,Pine Nut
18-8,胡桃,Pecan
18-9,紅豆,Red Bean
18-10,白芝麻,White Sesame Seed
18-11,黑芝麻,Black Sesame Seed
19,香菇系列,Mushrooms
19-1,香菇絲,Mushroom (Stripe)
19-2,大茶花菇,Flower Mushroom (4-5cm)
19-3,中茶花菇,Flower Mushroom (3-4cm)
19-4,光面菇（大）,Mushroom (Stripe)
19-5,光面菇（中）,Mushroom (Stripe)
19-6,金針菜,Dried Lily Flowers
19-7,竹笙,Bamboo Fungus
20,木耳系列,Dried Fungi
20-1,清水黑木耳,Black Fungus
20-2,清水木耳絲,Black Fungus (Stripe)
20-3,雲耳,Cloud Black Fungus
20-4,雪耳,White Fungus
21,茶葉系列,Teas
21-1,烏龍茶,Oolong Tea
21-2,烏龍茶包,Oolong Tea Bag
21-3,茉莉花茶,Jasmine Tea
21-4,茉莉花茶包,Jasmine Tea Bag
21-5,綠茶,Green Tea
21-6,綠茶茶包,Green Tea Bag
21-7,紅茶茶包,Black Tea Bag
22,海產系列,Seafoods
22-1,海參,Sea Cucumber
22-2,海蜇皮,Jelly Fish
22-3,海蜇頭,Jelly Fish (Head)
22-4,海蜇絲,Jslly Fish (Stripe)
22-5,魚肚,Dried Fish Bladder
22-6,海帶絲,Dried Seaweed (Stripe)
22-7,海帶片,Dried Seaweed
23,另類系列,Miscellaneous
23-1,筷子（紅封）,Chopsticks
23-2,鋼刷,Stainless Scrubber
23-3,零污染清潔劑(ND3),Zero Pollution Clerner (ND3)
